device_id,pm25,pm10,co2,temperature,humidity,timestamp
node-01,41.6,68.5,472,32.3,65.9,2026-08-26T10:00:00
node-01,44.2,68.2,482,33.4,65.4,2026-08-26T11:00:00
node-01,,65.6,501,34.3,66.4,2026-08-26T12:00:00
node-01,40.5,61.9,472,35.4,66.1,2026-08-26T13:00:00
node-01,40.8,62.7,509,35.6,57.6,2026-08-26T14:00:00
node-01,50.5,80.0,470,35.5,57.7,2026-08-26T15:00:00
node-01,51.1,78.8,465,35.4,61.9,2026-08-26T16:00:00
node-01,45.4,67.3,477,35.3,62.4,2026-08-26T17:00:00
node-01,53.8,79.1,477,34.1,60.6,2026-08-26T18:00:00
node-01,54.0,79.0,475,32.6,68.1,2026-08-26T19:00:00
node-01,60.1,91.0,459,32.6,69.0,2026-08-26T20:00:00
node-01,54.9,89.2,475,30.6,71.2,2026-08-26T21:00:00
node-01,45.0,67.5,481,29.8,73.3,2026-08-26T22:00:00
node-01,46.3,65.2,495,28.4,79.6,2026-08-26T23:00:00
node-01,42.9,60.7,510,27.7,81.4,2026-08-27T00:00:00
node-01,35.2,58.1,533,27.2,83.2,2026-08-27T01:00:00
node-01,44.0,70.2,540,26.9,80.7,2026-08-27T02:00:00
node-01,41.5,60.0,564,27.0,86.1,2026-08-27T03:00:00
node-01,41.9,60.8,545,26.2,81.5,2026-08-27T04:00:00
node-01,51.1,71.9,559,27.0,85.2,2026-08-27T05:00:00
node-01,54.9,88.2,534,27.8,79.8,2026-08-27T06:00:00
node-01,56.4,95.6,512,28.9,76.2,2026-08-27T07:00:00
node-01,51.6,85.4,497,30.0,74.3,2026-08-27T08:00:00
node-01,52.2,79.9,466,31.0,66.8,2026-08-27T09:00:00
node-01,39.6,60.6,478,32.2,67.3,2026-08-27T10:00:00
node-01,48.3,71.2,496,32.8,66.6,2026-08-27T11:00:00
node-01,41.8,61.2,472,34.4,61.8,2026-08-27T12:00:00
node-01,40.2,67.7,482,35.5,63.2,2026-08-27T13:00:00
node-01,38.7,59.9,459,35.5,59.6,2026-08-27T14:00:00
node-01,40.6,62.6,498,35.2,59.6,2026-08-27T15:00:00
node-01,44.9,66.2,468,35.6,61.3,2026-08-27T16:00:00
node-01,51.1,74.9,470,34.4,61.9,2026-08-27T17:00:00
node-01,,80.9,486,34.3,64.8,2026-08-27T18:00:00
node-01,56.4,88.3,520,33.3,65.0,2026-08-27T19:00:00
node-01,59.5,91.7,465,32.0,69.4,2026-08-27T20:00:00
node-01,43.6,66.3,483,31.6,73.3,2026-08-27T21:00:00
node-01,42.7,72.5,475,30.4,77.4,2026-08-27T22:00:00
node-01,43.2,66.3,498,28.1,79.4,2026-08-27T23:00:00
node-01,23.7,39.9,482,24.6,81.8,2026-08-28T00:00:00
node-01,29.5,41.3,521,23.3,83.2,2026-08-28T01:00:00
node-01,27.3,41.9,517,23.0,79.4,2026-08-28T02:00:00
node-01,25.0,38.2,531,22.7,83.2,2026-08-28T03:00:00
node-01,34.9,52.1,573,23.4,81.0,2026-08-28T04:00:00
node-01,35.6,59.9,539,23.4,82.4,2026-08-28T05:00:00
node-01,40.8,60.2,545,25.4,83.3,2026-08-28T06:00:00
node-01,61.7,98.8,498,25.5,78.6,2026-08-28T07:00:00
node-01,38.8,56.4,470,26.1,73.7,2026-08-28T08:00:00
node-01,35.9,57.5,498,27.9,70.6,2026-08-28T09:00:00
node-01,39.6,62.0,473,28.5,69.4,2026-08-28T10:00:00
node-01,26.0,44.1,490,29.7,63.9,2026-08-28T11:00:00
node-01,24.7,39.2,499,30.9,62.2,2026-08-28T12:00:00
node-01,23.2,33.3,488,32.2,61.1,2026-08-28T13:00:00
node-01,24.7,35.3,474,32.9,60.2,2026-08-28T14:00:00
node-01,33.5,54.1,464,31.9,59.9,2026-08-28T15:00:00
node-01,34.8,52.7,498,32.5,59.3,2026-08-28T16:00:00
node-01,38.5,58.7,506,32.1,60.7,2026-08-28T17:00:00
node-01,43.0,73.1,499,30.7,63.6,2026-08-28T18:00:00
node-01,42.0,64.5,473,29.9,67.2,2026-08-28T19:00:00
node-01,45.3,64.0,505,28.9,65.8,2026-08-28T20:00:00
node-01,35.8,60.7,456,27.6,72.0,2026-08-28T21:00:00
node-01,40.1,61.4,457,26.1,74.7,2026-08-28T22:00:00
node-01,29.9,46.1,472,25.8,77.7,2026-08-28T23:00:00
node-01,34.9,52.8,474,24.7,83.4,2026-08-29T00:00:00
node-01,31.6,50.2,517,25.5,79.1,2026-08-29T01:00:00
node-01,35.0,58.2,552,23.2,84.7,2026-08-29T02:00:00
node-01,32.3,48.9,549,23.9,86.0,2026-08-29T03:00:00
node-01,34.9,58.0,575,23.6,82.6,2026-08-29T04:00:00
node-01,36.4,53.7,564,25.0,82.6,2026-08-29T05:00:00
node-01,47.7,71.7,553,24.5,79.0,2026-08-29T06:00:00
node-01,49.6,75.2,508,25.6,78.2,2026-08-29T07:00:00
node-01,48.7,82.5,497,26.8,73.8,2026-08-29T08:00:00
node-01,39.3,62.2,482,27.3,72.1,2026-08-29T09:00:00
node-01,31.2,49.6,473,28.9,66.8,2026-08-29T10:00:00
node-01,34.3,57.3,462,30.2,64.6,2026-08-29T11:00:00
node-01,30.2,45.0,473,31.3,62.3,2026-08-29T12:00:00
node-01,35.2,58.9,476,32.2,60.3,2026-08-29T13:00:00
node-01,33.2,49.9,456,33.2,63.8,2026-08-29T14:00:00
node-01,36.6,62.0,461,33.3,59.3,2026-08-29T15:00:00
node-01,40.9,62.8,481,32.2,57.8,2026-08-29T16:00:00
node-01,42.8,62.9,477,32.9,62.3,2026-08-29T17:00:00
node-01,46.3,76.3,485,31.6,62.6,2026-08-29T18:00:00
node-01,51.3,79.4,475,31.1,68.4,2026-08-29T19:00:00
node-01,42.8,72.1,458,28.7,70.5,2026-08-29T20:00:00
node-01,44.8,68.2,490,28.2,71.8,2026-08-29T21:00:00
node-01,43.4,62.1,470,26.8,72.8,2026-08-29T22:00:00
node-01,30.5,43.8,485,26.1,76.2,2026-08-29T23:00:00
node-01,35.6,52.4,501,24.9,82.3,2026-08-30T00:00:00
node-01,29.4,48.8,,23.7,83.4,2026-08-30T01:00:00
node-01,30.3,43.6,533,23.3,84.8,2026-08-30T02:00:00
node-01,36.9,54.3,563,23.1,85.1,2026-08-30T03:00:00
node-01,26.1,40.3,565,23.4,81.2,2026-08-30T04:00:00
node-01,38.9,63.6,559,24.1,80.6,2026-08-30T05:00:00
node-01,48.1,73.1,546,24.3,78.3,2026-08-30T06:00:00
node-01,51.4,73.0,526,25.3,80.8,2026-08-30T07:00:00
node-01,48.7,74.8,497,26.4,74.5,2026-08-30T08:00:00
node-01,33.8,54.6,466,27.8,74.1,2026-08-30T09:00:00
node-01,28.6,40.9,486,28.3,70.2,2026-08-30T10:00:00
node-01,31.2,51.5,478,30.1,66.5,2026-08-30T11:00:00
node-01,23.9,37.5,473,30.8,64.4,2026-08-30T12:00:00
node-01,28.8,46.5,449,32.1,61.1,2026-08-30T13:00:00
node-01,30.7,45.0,501,32.6,62.8,2026-08-30T14:00:00
node-01,24.5,40.5,467,32.9,59.4,2026-08-30T15:00:00
node-01,43.5,71.7,485,32.0,61.7,2026-08-30T16:00:00
node-01,39.3,65.3,481,31.2,60.8,2026-08-30T17:00:00
node-01,51.0,74.7,484,30.5,64.4,2026-08-30T18:00:00
node-01,47.5,67.7,460,30.1,66.4,2026-08-30T19:00:00
node-01,43.7,67.5,501,28.5,69.5,2026-08-30T20:00:00
node-01,36.5,58.5,485,27.1,72.2,2026-08-30T21:00:00
node-01,34.0,50.7,478,26.6,76.2,2026-08-30T22:00:00
node-01,37.6,54.6,481,25.0,80.1,2026-08-30T23:00:00
node-01,37.0,52.3,511,25.8,81.0,2026-08-31T00:00:00
node-01,24.2,36.9,506,24.2,82.7,2026-08-31T01:00:00
node-01,24.5,41.1,521,24.4,85.6,2026-08-31T02:00:00
node-01,27.1,40.5,559,23.4,85.5,2026-08-31T03:00:00
node-01,37.5,62.7,581,23.3,86.2,2026-08-31T04:00:00
node-01,39.3,57.3,569,23.6,80.4,2026-08-31T05:00:00
node-01,45.7,74.3,522,24.9,78.3,2026-08-31T06:00:00
node-01,44.1,73.2,500,25.6,77.2,2026-08-31T07:00:00
node-01,44.0,62.3,509,26.5,75.0,2026-08-31T08:00:00
node-01,39.9,66.2,482,28.4,69.8,2026-08-31T09:00:00
node-01,27.2,45.4,473,28.5,70.0,2026-08-31T10:00:00
node-01,28.8,40.9,481,31.0,68.6,2026-08-31T11:00:00
node-01,27.7,40.8,479,30.8,64.3,2026-08-31T12:00:00
node-01,27.8,42.3,488,31.7,63.9,2026-08-31T13:00:00
node-01,32.3,51.8,482,32.3,63.5,2026-08-31T14:00:00
node-01,34.8,54.8,470,32.8,61.4,2026-08-31T15:00:00
node-01,31.5,53.0,492,32.3,62.2,2026-08-31T16:00:00
node-01,37.1,60.2,455,31.8,59.4,2026-08-31T17:00:00
node-01,43.3,63.0,490,31.4,68.3,2026-08-31T18:00:00
node-01,48.9,80.8,484,30.9,68.0,2026-08-31T19:00:00
node-01,49.2,80.2,483,29.5,70.3,2026-08-31T20:00:00
node-01,41.7,60.5,452,27.7,72.8,2026-08-31T21:00:00
node-01,32.6,53.0,484,26.4,75.9,2026-08-31T22:00:00
node-01,24.8,37.5,485,26.9,76.1,2026-08-31T23:00:00
node-01,17.0,28.0,491,24.2,79.4,2026-09-01T00:00:00
node-01,30.9,44.2,503,23.8,79.2,2026-09-01T01:00:00
node-01,26.3,38.0,572,22.0,85.4,2026-09-01T02:00:00
node-01,28.0,39.6,564,22.5,84.0,2026-09-01T03:00:00
node-01,40.4,66.7,576,22.5,80.7,2026-09-01T04:00:00
node-01,,56.9,541,23.3,80.3,2026-09-01T05:00:00
node-01,42.2,66.0,568,24.0,78.1,2026-09-01T06:00:00
node-01,44.9,68.5,521,25.2,75.9,2026-09-01T07:00:00
node-01,41.9,65.1,496,26.1,76.2,2026-09-01T08:00:00
node-01,36.8,58.9,502,28.2,74.8,2026-09-01T09:00:00
node-01,19.4,30.4,480,28.1,70.3,2026-09-01T10:00:00
node-01,28.5,46.6,483,29.2,68.7,2026-09-01T11:00:00
node-01,27.3,38.6,466,29.8,62.5,2026-09-01T12:00:00
node-01,21.5,34.2,485,31.2,60.9,2026-09-01T13:00:00
node-01,27.8,40.6,484,32.5,61.6,2026-09-01T14:00:00
node-01,26.8,43.6,476,31.9,61.8,2026-09-01T15:00:00
node-01,32.1,48.5,486,32.1,58.3,2026-09-01T16:00:00
node-01,42.8,66.3,477,31.6,60.5,2026-09-01T17:00:00
node-01,48.0,79.0,489,30.1,63.0,2026-09-01T18:00:00
node-01,43.4,66.3,499,29.4,64.3,2026-09-01T19:00:00
node-01,34.7,51.4,522,29.4,68.3,2026-09-01T20:00:00
node-01,33.5,53.7,500,27.5,71.7,2026-09-01T21:00:00
node-01,34.6,56.5,481,25.9,76.6,2026-09-01T22:00:00
node-01,25.5,38.5,446,25.1,75.4,2026-09-01T23:00:00
node-01,38.2,54.8,488,27.9,78.1,2026-09-02T00:00:00
node-01,39.8,61.0,528,27.5,82.4,2026-09-02T01:00:00
node-01,45.9,70.5,560,27.1,82.3,2026-09-02T02:00:00
node-01,43.2,65.0,550,27.1,85.0,2026-09-02T03:00:00
node-01,41.8,66.5,536,26.9,81.3,2026-09-02T04:00:00
node-01,53.8,75.7,581,26.8,81.8,2026-09-02T05:00:00
node-01,53.9,80.5,536,28.6,80.5,2026-09-02T06:00:00
node-01,58.7,99.3,511,28.6,76.3,2026-09-02T07:00:00
node-01,60.3,96.0,480,30.4,79.8,2026-09-02T08:00:00
node-01,51.2,74.0,490,31.3,73.5,2026-09-02T09:00:00
node-01,51.9,85.8,470,32.3,71.7,2026-09-02T10:00:00
node-01,39.6,61.4,498,33.8,70.2,2026-09-02T11:00:00
node-01,39.3,65.0,460,33.6,62.1,2026-09-02T12:00:00
node-01,36.9,58.9,464,35.0,59.5,2026-09-02T13:00:00
node-01,38.5,64.9,471,34.7,60.8,2026-09-02T14:00:00
node-01,43.7,66.9,482,35.3,60.1,2026-09-02T15:00:00
node-01,44.6,74.0,456,35.7,60.2,2026-09-02T16:00:00
node-01,49.0,72.5,495,35.0,62.5,2026-09-02T17:00:00
node-01,53.6,89.0,472,34.5,65.0,2026-09-02T18:00:00
node-01,58.4,90.8,462,33.0,66.0,2026-09-02T19:00:00
node-01,45.5,66.6,478,32.2,69.4,2026-09-02T20:00:00
node-01,48.4,75.6,466,31.3,70.3,2026-09-02T21:00:00
node-01,46.2,70.2,465,29.7,74.5,2026-09-02T22:00:00
node-01,35.6,52.8,479,29.5,77.8,2026-09-02T23:00:00
node-01,34.4,51.7,514,28.5,79.2,2026-09-03T00:00:00
node-01,38.8,55.9,516,27.0,84.4,2026-09-03T01:00:00
node-01,36.7,58.1,539,27.4,88.8,2026-09-03T02:00:00
node-01,37.4,58.3,585,26.5,82.4,2026-09-03T03:00:00
node-01,38.9,61.3,532,26.9,80.5,2026-09-03T04:00:00
node-01,38.9,63.6,567,27.3,79.8,2026-09-03T05:00:00
node-01,57.9,91.8,558,28.0,79.5,2026-09-03T06:00:00
node-01,59.8,84.1,514,28.8,79.1,2026-09-03T07:00:00
node-01,56.6,94.1,464,29.9,74.4,2026-09-03T08:00:00
node-01,46.6,72.6,507,31.0,73.1,2026-09-03T09:00:00
node-01,39.8,64.3,502,31.9,66.5,2026-09-03T10:00:00
node-01,41.4,60.8,499,33.7,65.7,2026-09-03T11:00:00
node-01,39.3,59.1,467,34.9,62.1,2026-09-03T12:00:00
node-01,38.5,65.2,466,35.4,57.1,2026-09-03T13:00:00
node-01,39.3,59.1,503,35.2,61.0,2026-09-03T14:00:00
node-01,33.4,53.7,471,36.0,62.1,2026-09-03T15:00:00
node-01,43.5,69.2,463,35.8,61.1,2026-09-03T16:00:00
node-01,51.0,79.8,478,35.4,60.7,2026-09-03T17:00:00
node-01,53.2,89.9,481,34.0,66.1,2026-09-03T18:00:00
node-01,53.6,86.7,471,34.2,64.3,2026-09-03T19:00:00
node-01,59.9,101.8,510,31.9,70.3,2026-09-03T20:00:00
node-01,58.2,81.6,466,30.9,71.6,2026-09-03T21:00:00
node-01,50.8,78.6,478,30.7,73.6,2026-09-03T22:00:00
node-01,44.2,68.0,485,28.8,79.3,2026-09-03T23:00:00
node-01,28.5,47.2,488,25.0,78.2,2026-09-04T00:00:00
node-01,27.2,39.2,508,23.6,83.7,2026-09-04T01:00:00
node-01,28.9,43.1,503,23.3,83.3,2026-09-04T02:00:00
node-01,31.5,47.0,564,22.7,85.3,2026-09-04T03:00:00
node-01,31.7,53.1,576,23.1,86.2,2026-09-04T04:00:00
node-01,41.4,65.5,581,23.3,83.7,2026-09-04T05:00:00
node-01,42.2,62.2,531,24.5,76.4,2026-09-04T06:00:00
node-01,45.9,72.0,510,25.8,79.0,2026-09-04T07:00:00
node-01,45.7,71.1,508,26.7,76.0,2026-09-04T08:00:00
node-01,30.4,46.7,485,27.2,71.8,2026-09-04T09:00:00
node-01,34.7,52.7,459,29.1,65.9,2026-09-04T10:00:00
node-01,28.9,49.1,485,30.0,65.7,2026-09-04T11:00:00
node-01,23.0,37.5,494,31.4,63.1,2026-09-04T12:00:00
node-01,22.7,38.0,500,31.1,63.7,2026-09-04T13:00:00
node-01,27.1,39.4,468,31.5,59.8,2026-09-04T14:00:00
node-01,31.7,47.2,480,31.9,57.8,2026-09-04T15:00:00
node-01,34.3,50.9,493,32.6,59.2,2026-09-04T16:00:00
node-01,33.4,55.6,492,31.8,61.7,2026-09-04T17:00:00
node-01,39.2,55.5,466,30.8,61.5,2026-09-04T18:00:00
node-01,47.3,73.4,476,29.7,69.6,2026-09-04T19:00:00
node-01,39.4,59.0,467,28.7,69.9,2026-09-04T20:00:00
node-01,38.9,65.5,485,28.3,69.0,2026-09-04T21:00:00
node-01,23.5,39.5,481,26.1,72.0,2026-09-04T22:00:00
node-01,33.1,53.8,491,24.6,78.6,2026-09-04T23:00:00
node-01,34.3,58.0,488,24.7,80.1,2026-09-05T00:00:00
node-01,24.4,40.4,489,24.7,84.2,2026-09-05T01:00:00
node-01,27.6,45.9,522,24.0,86.7,2026-09-05T02:00:00
node-01,23.1,34.6,565,23.6,83.9,2026-09-05T03:00:00
node-01,45.5,70.2,609,23.7,86.3,2026-09-05T04:00:00
node-01,32.5,49.2,553,23.8,82.0,2026-09-05T05:00:00
node-01,43.2,73.2,540,24.1,81.2,2026-09-05T06:00:00
node-01,43.4,63.6,526,26.0,79.2,2026-09-05T07:00:00
node-01,43.1,64.6,502,26.3,77.7,2026-09-05T08:00:00
node-01,37.8,62.2,476,28.6,71.4,2026-09-05T09:00:00
node-01,34.5,55.8,473,28.3,69.2,2026-09-05T10:00:00
node-01,32.1,53.1,482,30.9,65.0,2026-09-05T11:00:00
node-01,31.7,51.1,471,31.7,63.7,2026-09-05T12:00:00
node-01,27.3,42.2,462,31.9,61.6,2026-09-05T13:00:00
node-01,27.5,46.6,477,33.1,60.8,2026-09-05T14:00:00
node-01,33.9,48.4,476,32.7,61.1,2026-09-05T15:00:00
node-01,35.2,53.2,494,32.0,61.8,2026-09-05T16:00:00
node-01,37.6,60.0,453,32.4,59.0,2026-09-05T17:00:00
node-01,44.4,62.3,478,31.5,65.6,2026-09-05T18:00:00
node-01,40.6,58.0,468,30.2,65.9,2026-09-05T19:00:00
node-01,49.2,69.6,468,30.0,70.9,2026-09-05T20:00:00
node-01,49.8,74.4,487,28.6,71.4,2026-09-05T21:00:00
node-01,34.4,49.8,483,26.9,78.9,2026-09-05T22:00:00
node-01,29.0,41.8,501,26.4,77.8,2026-09-05T23:00:00
node-01,18.3,27.5,509,23.6,75.5,2026-09-06T00:00:00
node-01,28.5,48.4,518,22.4,82.5,2026-09-06T01:00:00
node-01,23.1,32.9,520,21.8,81.2,2026-09-06T02:00:00
node-01,30.1,47.9,,22.2,82.3,2026-09-06T03:00:00
node-01,28.0,41.5,583,22.5,84.5,2026-09-06T04:00:00
node-01,33.8,50.9,563,23.2,83.9,2026-09-06T05:00:00
node-01,39.5,56.3,554,24.2,78.0,2026-09-06T06:00:00
node-01,45.2,65.2,529,24.3,80.2,2026-09-06T07:00:00
node-01,36.5,51.9,506,25.5,76.6,2026-09-06T08:00:00
node-01,35.2,52.5,494,27.0,71.4,2026-09-06T09:00:00
node-01,27.6,45.4,494,28.5,64.7,2026-09-06T10:00:00
node-01,29.1,43.5,477,30.0,64.8,2026-09-06T11:00:00
node-01,20.4,30.0,481,29.4,66.1,2026-09-06T12:00:00
node-01,20.6,32.2,472,30.4,59.3,2026-09-06T13:00:00
node-01,25.0,37.2,464,30.8,56.9,2026-09-06T14:00:00
node-01,22.1,32.5,480,30.9,57.3,2026-09-06T15:00:00
node-01,35.7,54.3,478,30.1,60.2,2026-09-06T16:00:00
node-01,37.2,62.1,466,30.0,61.0,2026-09-06T17:00:00
node-01,39.2,62.5,468,31.0,65.1,2026-09-06T18:00:00
node-01,43.5,66.5,441,29.3,66.1,2026-09-06T19:00:00
node-01,36.6,56.1,470,27.3,71.1,2026-09-06T20:00:00
node-01,35.7,51.1,482,25.8,74.6,2026-09-06T21:00:00
node-01,33.3,51.2,490,25.7,77.3,2026-09-06T22:00:00
node-01,26.6,39.6,467,24.5,77.1,2026-09-06T23:00:00
node-01,35.0,51.6,535,24.7,81.5,2026-09-07T00:00:00
node-01,29.6,43.1,531,23.7,80.7,2026-09-07T01:00:00
node-01,31.1,47.2,559,23.4,82.3,2026-09-07T02:00:00
node-01,32.0,53.2,564,23.5,85.6,2026-09-07T03:00:00
node-01,36.3,57.8,556,23.0,82.0,2026-09-07T04:00:00
node-01,41.4,68.1,544,23.8,80.8,2026-09-07T05:00:00
node-01,45.6,68.0,545,24.9,83.3,2026-09-07T06:00:00
node-01,49.6,72.2,527,25.2,75.7,2026-09-07T07:00:00
node-01,39.9,57.5,492,26.5,77.1,2026-09-07T08:00:00
node-01,40.5,66.6,487,28.3,71.5,2026-09-07T09:00:00
node-01,26.5,41.0,496,29.1,69.1,2026-09-07T10:00:00
node-01,29.5,42.8,499,29.4,66.9,2026-09-07T11:00:00
node-01,30.9,50.4,484,31.2,61.8,2026-09-07T12:00:00
node-01,28.3,48.0,461,32.3,63.9,2026-09-07T13:00:00
node-01,34.2,51.5,479,32.3,58.4,2026-09-07T14:00:00
node-01,32.1,50.6,507,31.9,62.5,2026-09-07T15:00:00
node-01,36.7,53.7,487,32.5,61.1,2026-09-07T16:00:00
node-01,37.2,55.3,500,31.6,65.5,2026-09-07T17:00:00
node-01,53.4,87.3,501,32.1,60.5,2026-09-07T18:00:00
node-01,49.1,79.2,471,30.4,63.0,2026-09-07T19:00:00
node-01,42.2,64.3,474,28.4,69.7,2026-09-07T20:00:00
node-01,36.8,61.9,,27.2,75.6,2026-09-07T21:00:00
node-01,35.9,58.1,455,26.1,75.9,2026-09-07T22:00:00
node-01,28.8,44.0,477,25.6,79.5,2026-09-07T23:00:00
node-01,24.3,36.5,491,24.4,79.9,2026-09-08T00:00:00
node-01,26.5,43.9,518,23.7,82.4,2026-09-08T01:00:00
node-01,27.9,44.5,532,23.8,87.5,2026-09-08T02:00:00
node-01,29.7,49.6,575,23.3,85.7,2026-09-08T03:00:00
node-01,33.1,53.3,591,23.7,83.6,2026-09-08T04:00:00
node-01,37.5,60.3,559,24.2,77.0,2026-09-08T05:00:00
node-01,47.3,76.6,546,24.7,81.5,2026-09-08T06:00:00
node-01,47.5,68.4,,25.6,78.0,2026-09-08T07:00:00
node-01,41.2,66.6,485,26.3,74.3,2026-09-08T08:00:00
node-01,38.8,55.5,482,27.6,69.3,2026-09-08T09:00:00
node-01,31.6,46.9,490,29.2,70.2,2026-09-08T10:00:00
node-01,30.8,51.0,458,29.7,64.6,2026-09-08T11:00:00
node-01,28.7,40.6,467,31.6,60.5,2026-09-08T12:00:00
node-01,23.3,36.3,480,32.7,60.8,2026-09-08T13:00:00
node-01,32.6,49.2,465,31.7,57.3,2026-09-08T14:00:00
node-01,32.4,47.9,480,32.3,60.2,2026-09-08T15:00:00
node-01,31.1,47.4,467,31.9,59.6,2026-09-08T16:00:00
node-01,38.8,60.3,492,31.7,65.1,2026-09-08T17:00:00
node-01,39.3,63.0,458,31.4,64.8,2026-09-08T18:00:00
node-01,48.1,73.6,482,29.4,66.8,2026-09-08T19:00:00
node-01,44.2,71.3,472,28.7,67.8,2026-09-08T20:00:00
node-01,40.7,59.0,456,28.1,74.5,2026-09-08T21:00:00
node-01,34.4,56.5,476,26.5,75.8,2026-09-08T22:00:00
node-01,34.8,52.5,487,24.9,78.0,2026-09-08T23:00:00
node-01,44.2,71.5,509,28.0,82.8,2026-09-09T00:00:00
node-01,40.2,60.9,533,27.7,86.1,2026-09-09T01:00:00
node-01,45.9,70.0,527,26.6,85.5,2026-09-09T02:00:00
node-01,44.7,69.3,568,26.8,83.3,2026-09-09T03:00:00
node-01,45.5,70.0,568,26.6,87.4,2026-09-09T04:00:00
node-01,51.9,81.4,561,27.0,85.0,2026-09-09T05:00:00
node-01,48.4,70.6,,28.5,78.5,2026-09-09T06:00:00
node-01,55.5,83.5,,29.3,74.5,2026-09-09T07:00:00
node-01,51.0,82.5,473,30.3,76.6,2026-09-09T08:00:00
node-01,61.9,99.9,506,31.9,74.5,2026-09-09T09:00:00
node-01,42.8,72.4,468,32.4,69.4,2026-09-09T10:00:00
node-01,45.9,70.2,489,33.6,65.7,2026-09-09T11:00:00
node-01,42.3,68.6,458,34.1,65.0,2026-09-09T12:00:00
node-01,41.2,59.6,460,35.2,63.5,2026-09-09T13:00:00
